node_id,lat,lng,type,name,notes
n280,55.871931,-4.289312,,,
n281,55.871724,-4.289694,,,
n282,55.871731,-4.289756,,,
n283,55.871543,-4.289768,,,
n284,55.871683,-4.289711,,,
n285,55.871358,-4.288720,,,
n286,55.871286,-4.288558,,,
n287,55.871044,-4.288658,,,
n288,55.871671,-4.288185,,,
n289,55.871661,-4.288222,,,
n290,55.871707,-4.288563,,,
n291,55.871724,-4.288579,,,
n292,55.873339,-4.289780,,,
n293,55.873370,-4.289854,,,
n294,55.873368,-4.289833,,,
n295,55.873365,-4.289856,,,
n296,55.873189,-4.291238,,,
n297,55.873184,-4.291285,,,
n298,55.873818,-4.291161,,,
n299,55.873835,-4.291240,,,
n300,55.873821,-4.291098,,,
n301,55.873811,-4.291035,,,
n302,55.873820,-4.291079,,,
n303,55.873809,-4.291022,,,
n304,55.873701,-4.291040,,,
n305,55.873692,-4.291027,,,
n306,55.873760,-4.291049,,,
n307,55.873735,-4.291046,,,
n308,55.873774,-4.291043,,,
n309,55.873807,-4.291008,,,
n310,55.873797,-4.291026,,,
n311,55.873062,-4.291305,,,
n312,55.873115,-4.291191,,,
n313,55.873540,-4.291339,,,
n314,55.873653,-4.291493,,,
n315,55.873668,-4.291025,,,
n316,55.873678,-4.291062,,,
n317,55.874114,-4.291294,,,
n318,55.874353,-4.290879,,,
n319,55.874335,-4.290783,,,
n320,55.874319,-4.290883,,,
n321,55.873943,-4.291059,,,
n322,55.873955,-4.291082,,,
n323,55.873965,-4.291104,,,
n324,55.874427,-4.291045,,,
n325,55.873986,-4.291017,,,
n326,55.873958,-4.290977,,,
n327,55.873932,-4.290900,,,
n328,55.873923,-4.290873,,,
n329,55.874370,-4.290416,,,
n330,55.874395,-4.290401,,,
n331,55.874336,-4.290431,,,
n332,55.874853,-4.290106,,,
n333,55.873686,-4.291536,,,
n334,55.873703,-4.291559,,,
n335,55.873677,-4.291523,,,
n336,55.873640,-4.291541,,,
n337,55.873643,-4.291597,,,
n338,55.873641,-4.291640,,,
